DATE,LOCATION,AGENCY ID,VEHICLE ID,DURATION,LICENSE PLATE,DESCRIPTION
2015-08-13 12:02:38,"Coordinates: 39.951031, -75.197983",PECO,CPP4U7,0:27:00,ZY999Y,Ea animi porro ducimus et sit libero. Impedit maxime qui id ratione illum illo ipsa.
2015-08-03 00:20:53,"Coordinates: 39.951371, -75.196754",STREETS,EKF3B3,0:08:00,23SMP2,Et adipisci voluptatem aperiam autem et. Dolorum nihil dolor cumque. Unde vel aliquam porro blanditiis non iure.
2015-11-26 22:59:30,"Coordinates: 39.951853, -75.197602",PECO,4PGSGQ,0:10:00,,Commodi numquam et vitae et commodi. Porro nihil explicabo quia soluta reiciendis est. Perspiciatis voluptatem fugit sit quia suscipit.
2015-02-14 13:44:45,"Coordinates: 39.951786, -75.196886",STREETS,Z9IEIP,0:29:00,,Et laudantium non quia facere neque molestiae molestiae. Inventore aperiam ipsa aut minus accusantium et sit accusamus. At ipsum sint et velit perferendis sint.
2015-07-18 07:02:45,"Coordinates: 39.951001, -75.196704",PECO,9ST9MG,0:16:00,,Quia consequatur aut ea et. Cupiditate molestiae tenetur et et consectetur. Quisquam est dolore nobis dolores voluptas ut accusantium ut. Repellendus quae laboriosam expedita necessitatibus voluptates enim.
2015-07-15 09:43:21,"Coordinates: 39.951068, -75.196495",SEPTA,5IIIC4,0:27:00,M2U2TX,Voluptatem quidem aut odio aut. Molestiae dolore quidem provident officia amet sit. Ipsa quo dicta eaque qui repellat quo. Voluptas maiores molestiae a veritatis.
2015-01-14 06:34:44,"Coordinates: 39.951818, -75.197215",PWD,BH18Z9,0:24:00,,Adipisci veniam a qui odio vero. Eum odio quae explicabo quis. Facilis libero commodi magnam molestiae qui deserunt. Incidunt autem harum laudantium quia sed non et.
2015-04-26 18:51:00,"Coordinates: 39.951246, -75.196311",PECO,IOGR5F,0:02:00,,Adipisci qui dolorem labore ut rem necessitatibus placeat. Rerum nostrum non sequi eaque ut eum. Dicta et quas est pariatur cupiditate dolore.
2015-01-25 11:28:59,"Coordinates: 39.951410, -75.196749",STREETS,O09PFP,0:10:00,FBT9FM,Laboriosam et rerum exercitationem dolorem. Dolores et non illo asperiores perspiciatis unde quas ipsum. Nesciunt autem eos eius et atque dolores.
2015-11-01 15:32:26,"Coordinates: 39.950139, -75.198184",PWD,NWMEVM,0:25:00,,Odit expedita voluptatem omnis neque dolorum veritatis non ipsum. Voluptate non autem libero sint consequatur eveniet nesciunt. Ullam dignissimos quo optio amet.
2015-07-23 18:12:00,"Coordinates: 39.951572, -75.197889",SEPTA BUS,TVBYRT,0:19:00,NV5JQR,Veniam rerum atque doloribus consequuntur nam deleniti voluptatem. Laudantium saepe aut eveniet asperiores id deserunt eaque rem. Consequatur deserunt voluptas voluptatum rerum. Voluptatem praesentium qui vitae repellendus et.
2015-08-01 01:50:30,"Coordinates: 39.951595, -75.197927",SEPTA BUS,YT2K63,0:17:00,,Dignissimos dolor omnis dolor et architecto et ea dignissimos. Ut corporis qui odio repellendus et vel sit aut. Eaque in facere et dignissimos laudantium odit voluptatibus.
2015-04-20 14:27:54,"Coordinates: 39.951607, -75.197452",PECO,XHBIMH,0:02:00,,Recusandae minus dolores et reprehenderit et. Assumenda iure ut doloribus sint eveniet ut ut. Iure dignissimos eos velit ad unde in fugiat. Aut ut qui accusamus earum laboriosam sit id.
2015-07-20 05:16:51,"Coordinates: 39.950997, -75.198150",SEPTA CCT,KDPWP0,0:14:00,,Quos et voluptate tempora aperiam tempora alias et. Itaque sit similique dolor et. Occaecati quas nam quas pariatur aut recusandae. Repudiandae molestiae nam totam.
2015-07-04 11:02:35,"Coordinates: 39.950998, -75.198019",SEPTA CCT,XT88PG,0:04:00,EPH7EK,Culpa sapiente eum dicta tempore molestiae libero. Quae voluptatem voluptatem nobis velit sit amet fugiat. Voluptate asperiores ut voluptatem molestias. Officia consequatur et nisi amet.
2015-11-13 10:45:31,"Coordinates: 39.950294, -75.197583",SEPTA CCT,HCB0KP,0:07:00,BXTQ4X,Tempore molestiae accusamus unde non impedit voluptatem temporibus. Voluptatibus soluta repellendus quaerat dolorem aliquid voluptatem fuga. Corrupti quisquam et consequatur eum dolorum sapiente est.
2015-10-04 01:57:20,"Coordinates: 39.950900, -75.196550",SEPTA,UWV0DH,0:28:00,VK8C4A,Nemo laudantium id corrupti quis veritatis dolorem. Iure maiores assumenda error laudantium sit est. Eaque facere repellat sint ut. Eaque laboriosam ut consectetur tempore.
2015-07-21 15:30:33,"Coordinates: 39.950582, -75.197256",SEPTA BUS,S8RTKT,0:25:00,,Eveniet voluptas aliquid velit dolores. In suscipit quia reprehenderit tenetur dolorem voluptatem.
2015-09-29 18:28:02,"Coordinates: 39.950872, -75.197483",SEPTA CCT,PKQGWP,0:13:00,HXAN3T,Aut quod aliquam voluptates natus porro quidem perspiciatis. Blanditiis cupiditate dicta nihil minima quas et aspernatur nam. Porro reprehenderit et aut odio non mollitia aliquam.
2015-10-01 10:33:12,"Coordinates: 39.950404, -75.197596",PECO,JMA0CK,0:17:00,33ABRQ,Quia aliquid modi aliquam est et ratione. Accusantium sed id rerum. Eum odio qui similique a aperiam quisquam eos. Iusto repudiandae qui qui adipisci.
2015-07-11 10:22:10,"Coordinates: 39.951079, -75.197041",SEPTA BUS,YE39QE,0:12:00,,Iste minima repudiandae dolor enim in cumque quas. Voluptatum explicabo voluptatem qui non distinctio. Ut blanditiis non earum ex possimus enim. Molestiae a ducimus non et sed.
2015-07-23 21:49:55,"Coordinates: 39.950900, -75.197303",PWD,69T39G,0:15:00,,Nemo alias officia velit soluta modi. Voluptas quasi amet natus dolores quia autem. Facilis dolor numquam asperiores vel sit qui enim rerum.
2015-10-30 12:52:29,"Coordinates: 39.950131, -75.197811",PWD,Q85DAV,0:19:00,,Nisi optio omnis sed beatae. Reiciendis mollitia et non animi facere enim. Dolores qui quis quos. Eveniet illum delectus sequi quod vel. Eligendi eligendi adipisci deleniti ducimus.
2015-12-09 16:54:10,"Coordinates: 39.950578, -75.196799",SEPTA BUS,VOG6PQ,0:08:00,,Repellat aperiam dicta repellendus optio quisquam. Voluptas nihil dignissimos voluptatem iste qui.
2015-02-23 06:14:17,"Coordinates: 39.952001, -75.196520",PWD,8VPMQQ,0:12:00,,Dolore atque blanditiis dolore ducimus ea. Eos quo alias qui dolorem qui ratione repudiandae porro. Architecto impedit omnis reiciendis numquam velit distinctio illum. Quia at ipsa repudiandae magnam dignissimos sit. Consectetur optio fuga id.
2015-12-06 08:51:14,"Coordinates: 39.951662, -75.196262",PWD,LMWITT,0:15:00,0IFX9G,Dolor voluptate odio repellendus sequi ipsum qui quae. Facilis quia eveniet sit dolor quas eum. Eligendi odit quibusdam at sed corrupti dolor mollitia voluptatem. Quibusdam qui labore dicta optio velit.
2015-12-22 06:44:28,"Coordinates: 39.951229, -75.197289",STREETS,V65DZX,0:14:00,,Sequi eos eligendi consequatur ipsum iure sit odit quae. Quos consequatur temporibus laboriosam fugiat reiciendis aut rerum. Libero ipsam ea voluptatem quam eum voluptatum. Quo nostrum nemo occaecati accusantium omnis.
2015-05-25 01:22:03,"Coordinates: 39.950952, -75.197524",STREETS,0G34GS,0:24:00,V2Q60Q,Incidunt temporibus iusto nemo. Est voluptatem beatae nisi praesentium et quo recusandae. Consequatur blanditiis et dolor. Consequatur laudantium velit error.
2015-01-24 08:07:43,"Coordinates: 39.951511, -75.196692",STREETS,1W2GLG,0:30:00,,Vero est repellendus nemo ducimus enim sequi inventore. Sit incidunt hic eveniet iste. Velit ut non nisi et numquam quia. Ut at est est deleniti officia.
2015-11-22 23:30:17,"Coordinates: 39.950830, -75.197498",PECO,LMB2UA,0:30:00,,Sunt culpa aliquid tempore consectetur sapiente et voluptatem asperiores. Cupiditate quia sed vel dolorum. Repellendus voluptates accusamus molestiae necessitatibus molestiae quaerat iusto.
2015-11-06 00:39:15,"Coordinates: 39.950189, -75.197067",SEPTA CCT,9DF2OI,0:20:00,5MD0Z6,Dignissimos et dolor ut quia nihil voluptatibus iusto et. Aliquid nulla totam dolores ut totam nesciunt alias voluptatem. Adipisci quos eaque consequatur.
2015-01-30 10:45:38,"Coordinates: 39.951307, -75.197709",PECO,SOSKLV,0:08:00,,Totam quae dicta vitae rerum at. Qui sit tempore perferendis quibusdam sint. Dolor eveniet quas eum illo et culpa eaque. Sunt dolores sed in.
2015-09-24 10:07:40,"Coordinates: 39.950212, -75.197376",PECO,HJIAZG,0:25:00,,Animi sit et qui excepturi ut consequuntur. Sed ut iure tempore dolorem. Quidem blanditiis velit dolore placeat. Harum eos voluptatibus unde occaecati consequatur nostrum.
2015-07-08 17:49:24,"Coordinates: 39.951143, -75.198116",PWD,7KPJZD,0:14:00,,Deserunt est deserunt ea repellendus cupiditate. Et neque nobis possimus et. Non quis veniam debitis expedita voluptatem modi.
